Date,Open,High,Low,Close,Volume
2023-12-18,183.0,193.4499969482422,183.0,192.14999389648438,98000.0
2023-12-19,187.3000030517578,193.9499969482422,187.3000030517578,191.5,14000.0
2023-12-20,192.0,192.0,182.0,184.64999389648438,51000.0
2023-12-21,185.0,185.0,185.0,185.0,1000.0
2023-12-22,185.5,185.5,182.89999389648438,183.9499969482422,5000.0
2023-12-26,189.89999389648438,201.9499969482422,188.89999389648438,194.0,48000.0
2023-12-27,192.0,193.0,190.0,190.0,12000.0
2023-12-28,190.0,193.9499969482422,190.0,191.0,13000.0
2023-12-29,190.9499969482422,191.89999389648438,188.0,191.89999389648438,6000.0
2024-01-01,192.0,195.89999389648438,188.14999389648438,191.89999389648438,52000.0
2024-01-02,196.8000030517578,196.8000030517578,188.0,188.64999389648438,8000.0
2024-01-03,189.10000610351562,189.10000610351562,189.0500030517578,189.0500030517578,2000.0
2024-01-04,189.9499969482422,189.9499969482422,188.14999389648438,188.14999389648438,3000.0
2024-01-05,190.5,193.60000610351562,188.0,190.0,11000.0
2024-01-08,191.0,194.0,190.10000610351562,190.10000610351562,13000.0
2024-01-09,190.1999969482422,191.0,189.0,189.0,4000.0
2024-01-10,189.0,189.0,189.0,189.0,0.0
2024-01-11,188.0,188.0,184.0,184.5,5000.0
2024-01-12,184.5,187.0,183.0,187.0,11000.0
2024-01-15,187.0,187.0,187.0,187.0,0.0
2024-01-16,188.0,188.0,180.0,180.0,8000.0
2024-01-17,174.0500030517578,184.85000610351562,174.0500030517578,180.0,6000.0
2024-01-18,188.0,188.35000610351562,188.0,188.35000610351562,5000.0
2024-01-19,188.5,191.0,188.5,191.0,3000.0
2024-01-23,187.0,187.0,182.14999389648438,183.0,4000.0
2024-01-24,189.89999389648438,189.89999389648438,188.9499969482422,189.64999389648438,6000.0
2024-01-25,188.5,188.5,188.5,188.5,1000.0
2024-01-29,180.0500030517578,185.25,177.0,182.10000610351562,7000.0
