Date,Open,High,Low,Close,Volume
2023-12-18,283.5522548989952,296.0444232290405,283.10609414362534,293.0700988769531,368383
2023-12-19,295.7469511190042,306.7519564721907,295.7469511190042,300.357177734375,1184298
2023-12-20,302.34004082564564,305.3143647678305,290.0461443261714,294.5572204589844,550258
2023-12-21,292.3760703118557,297.9281483456146,287.51801337846337,294.7555236816406,331967
2023-12-22,296.2426852757332,305.562258862894,296.2426852757332,301.3486328125,308709
2023-12-26,301.44772779921936,312.1057222210055,301.44772779921936,310.5690002441406,954625
2023-12-27,312.30405798996446,315.6253929119298,305.4631180090817,308.685302734375,441167
2023-12-28,311.70917854277565,311.70917854277565,303.628936965423,305.85968017578125,253735
2023-12-29,306.3553998992353,306.95027080468674,299.7127302584106,301.3486328125,211576
2024-01-01,300.2579895388486,303.43058339479165,297.43237591636597,297.63067626953125,341901
2024-01-02,298.6221483748309,308.1895514039895,298.42384800117816,304.2733459472656,444434
2024-01-03,304.3725078220197,310.3211561833621,302.6374853832948,305.1160888671875,580532
2024-01-04,306.65276746721895,307.0493681735495,295.4990533703552,297.63067626953125,749848
2024-01-05,299.16745393871264,301.2990469792926,296.24268959383886,299.4648742675781,304173
2024-01-08,299.9110270144081,300.406747720217,297.7794340307078,298.8700256347656,220161
2024-01-09,300.4067247186082,303.33148876149323,294.60678685345636,297.2341003417969,192475
2024-01-10,296.3913929412759,298.6716958610625,292.0786171738303,294.5572204589844,207142
2024-01-11,295.7965345848338,309.32970304162717,292.5743501781502,299.8614501953125,863757
2024-01-12,300.90244619007626,304.5707912445371,299.51443436766004,301.6955871582031,273769
2024-01-15,302.9845206958362,307.34685713289554,297.92816312398423,300.258056640625,461653
2024-01-16,300.3076005369039,302.19133318657504,292.47521935791923,294.6564025878906,217026
2024-01-17,292.2769225660788,296.3914287212422,289.6000488487965,290.4923400878906,192018
2024-01-18,290.49232237609,292.27690474546915,283.65138295161694,289.2034606933594,150233
2024-01-19,290.6905877528329,294.1110419250364,289.15383565542044,291.087158203125,107440
2024-01-23,295.44954460969024,295.44954460969024,281.5198046928972,283.6513977050781,165425
2024-01-24,283.65138571539916,286.6257098642714,278.5950286110383,280.5779113769531,166082
2024-01-25,282.11464753329875,284.59325111470673,277.5540411486212,279.38818359375,144122
2024-01-29,280.57792541538237,281.56936684794556,278.64460251932763,279.38818359375,124348
2024-01-30,281.4702159851431,296.98626831664046,278.19847136800894,294.85467529296875,743871
2024-01-31,294.85464802432267,303.92633022049534,293.21877586704375,297.28369140625,528653
2024-02-01,298.5230131794481,299.9110250955544,293.07008545043806,294.30938720703125,185144
2024-02-02,296.44095358134547,296.44095358134547,287.51798173441534,288.0137023925781,215143
2024-02-05,288.1128511460864,291.7811658444589,287.0718196152767,287.91455078125,127392
2024-02-06,291.1863762346393,298.4238869722734,289.05475283686576,291.58294677734375,237325
2024-02-07,292.5743729385224,297.23412951993,290.9880605943956,294.9042663574219,247473
2024-02-08,297.4324290627912,305.0665401779594,293.46666334195396,294.85467529296875,583235
2024-02-09,289.649609033787,293.3675144131093,283.5522502629768,286.0804138183594,378151
2024-02-12,286.42737742620693,286.6752377442041,281.8667415237825,282.70947265625,215108
2024-02-13,282.5607984891036,284.2958209359665,274.23269679543967,276.46343994140625,153337
2024-02-14,274.6293009634666,281.81725198146347,273.6874194171715,281.1728210449219,114178
2024-02-15,281.61889915878737,286.77440620434214,281.17276871178393,283.9983825683594,107507
2024-02-16,286.22914397391577,287.2205853728467,283.4035299356845,285.3368225097656,102158
2024-02-19,286.03084526278093,291.63248314819157,283.55224175097175,287.6667175292969,149040
2024-02-20,288.01445962868445,290.54789240280746,284.83529089286645,285.72943115234375,123600
2024-02-21,285.72942719354637,291.0446363277537,282.1031732186871,283.1463317871094,155644
2024-02-22,283.24567785384545,286.42484643800873,279.5697310169045,283.0469665527344,129272
2024-02-23,283.046953028217,286.0274404879436,279.7187359677051,281.9541015625,116138
2024-02-26,280.5135782645778,282.6992510908033,278.17885679551193,279.2220153808594,93296
2024-02-27,280.1658447643036,281.7554442735926,278.1788529574646,278.228515625,141679
2024-02-28,278.6755895418955,280.1658333362372,277.98013031023436,278.4272155761719,133874
2024-02-29,278.17883887089096,280.91095246694437,276.4402211279479,278.8742980957031,87791
2024-03-01,280.1658525545188,281.2090111544795,275.49640955097425,277.0363464355469,158419
2024-03-04,277.3840617523837,279.8181084663056,276.2912102208468,277.6820983886719,239634
2024-03-05,279.12266148604243,284.934587751317,277.930454379835,278.9239501953125,158449
2024-03-06,278.8742977303763,278.8742977303763,273.1120035984327,275.6950988769531,167799
2024-03-07,273.4597217163899,279.4703592395608,273.21134776387726,274.30419921875,132364
2024-03-11,276.986657154559,276.986657154559,273.11202903544813,273.26104736328125,92152
2024-03-12,273.70812406173434,276.14220117648887,269.98251438757285,273.0126647949219,227969
2024-03-13,274.1552130787177,275.14870900533873,258.6069775718264,266.0581970214844,261771
2024-03-14,265.06471801899664,274.80099691298904,260.24628672250384,272.9133605957031,188772
2024-03-15,272.41657596185786,272.7642752563399,263.2764019550294,267.4490966796875,144434
2024-03-18,263.57445356608537,272.16821746798576,263.57445356608537,268.243896484375,259283
2024-03-19,268.29355430413904,272.8636414847357,265.263403952171,267.3994140625,237429
2024-03-20,267.3994087948061,274.35387992246865,264.3195655173094,273.0623474121094,204736
2024-03-21,274.20486197916665,280.960621813337,273.2610287686321,279.42071533203125,235498
2024-03-22,280.66258293503347,281.4573675024356,274.2048597878557,274.9499816894531,140216
2024-03-26,274.94997625404034,277.3840532121084,266.20722490909867,267.74713134765625,211444
2024-03-27,267.79682553340655,269.08838848078517,262.2829350492128,264.4189453125,316769
2024-03-28,267.2503703444428,270.3302133899245,260.6932919970817,263.3260498046875,260008
2024-04-01,264.6673108174207,274.4035891644156,264.6673108174207,273.7081298828125,120257
2024-04-02,271.323734738683,287.9647909646222,271.323734738683,283.4443664550781,126585
2024-04-03,285.13329050757926,292.7832201854167,283.444335544186,286.7725524902344,296935
2024-04-04,288.51120370231314,291.34267308511664,286.1268196027744,287.91510009765625,118921
2024-04-05,288.1137886482973,305.89735781484046,287.0209371792624,304.5064697265625,1149931
2024-04-08,307.38761453587324,307.48697018618066,295.66437545770236,297.6513671875,275939
2024-04-09,301.7247129587781,301.7247129587781,294.0747825025297,295.01861572265625,143555
2024-04-10,294.5715315928263,304.4071348469478,291.7897552264991,299.63836669921875,360962
2024-04-12,299.6383428492107,301.9233710883084,299.0422392984199,300.18475341796875,176396
2024-04-15,293.08128299855827,302.0724085357941,285.33202730453667,298.79388427734375,361802
2024-04-16,297.35331266530693,303.3639810906303,296.06178011459025,298.89324951171875,118599
2024-04-18,297.55203060741866,312.4544695360039,297.5023679386259,301.0292663574219,901460
2024-04-19,298.04876597764707,301.87373120484455,295.06827831787064,296.6081848144531,239703
2024-04-22,303.56263439895656,329.04582633024273,303.56263439895656,317.8193054199219,4057577
2024-04-23,320.7998197626943,327.6549354028188,311.2125903999842,313.64666748046875,1631718
2024-04-24,314.6898209064166,315.9316907600331,308.43080897182483,309.62298583984375,525581
2024-04-25,309.7720232500142,314.09373667076864,305.2516288318891,306.64251708984375,322194
2024-04-26,306.9405595039434,314.19306718808065,306.19543760547367,310.5171203613281,266856
2024-04-29,312.9511733663314,312.9511733663314,303.06587814347506,304.5561218261719,290690
2024-04-30,305.0032462620742,307.486986052482,298.14813050436663,301.6253662109375,245004
2024-05-02,302.51949883938596,304.9535759002118,299.73772247194654,301.22796630859375,189932
2024-05-03,301.22798254102736,303.4136554277707,294.1741552702994,295.515380859375,243655
2024-05-06,296.65790174214385,297.05529406503473,290.20017795812134,292.8825988769531,134499
2024-05-07,292.0877552994981,292.7832144635593,286.32549198244794,287.66668701171875,134608
2024-05-08,287.66670564287256,294.8198877513314,286.17646189686747,291.1936340332031,134214
2024-05-09,295.0682827069155,295.0682827069155,283.24568754442925,284.7359313964844,126957
2024-05-10,282.15281951121796,284.1894738624493,276.9369663336338,280.91094970703125,152844
2024-05-13,281.1593272187221,282.3515343734329,274.20485622744627,278.7252502441406,124672
2024-05-14,278.725262035688,288.85893232217535,278.725262035688,284.88494873046875,109277
2024-05-15,284.8849621178107,290.1008158270295,284.8849621178107,285.9778137207031,80329
2024-05-16,287.36867479532094,296.5585114136674,287.36867479532094,293.4786682128906,174440
2024-05-17,294.0747863462343,298.7938918703715,294.0747863462343,296.0121154785156,127113
2024-05-21,296.5585239663594,296.5585239663594,291.09429655659403,291.5413818359375,107745
2024-05-22,291.29298693490443,303.36395509996964,291.29298693490443,299.7377014160156,307468
2024-05-23,299.73773186360023,302.81754496723323,297.15463640199147,298.14813232421875,178584
2024-05-24,296.06177793184105,300.48284681047215,291.5413837185709,292.8329162597656,191916
2024-05-27,292.8329152467153,293.8760738095262,285.13332205532583,289.8027648925781,139942
2024-05-28,290.1007929229797,294.919253937744,287.6170532575432,289.55438232421875,148241
2024-05-29,288.8092640128145,289.80275989133247,286.12681301318065,287.3686828613281,94162
2024-05-30,287.36866036734716,288.4615118119909,280.76191935616737,282.8482666015625,147351
2024-05-31,282.84829613127175,288.6105602495831,281.15934096603104,282.997314453125,107129
2024-06-03,289.1073082018199,290.44853373667706,281.705751585856,282.997314453125,120237
2024-06-04,283.14631514853704,283.6927257343468,265.51176394191765,269.634765625,198029
2024-06-05,270.2308950754215,285.08367147282786,268.3432588574626,279.91748046875,149402
