Date,Open,High,Low,Close,Volume
2023-12-18,80.05000305175781,85.0,80.05000305175781,84.5999984741211,3404.0
2023-12-19,87.69999694824219,87.69999694824219,84.05000305175781,86.6500015258789,2416.0
2023-12-20,86.6500015258789,88.0,84.0,85.05000305175781,5976.0
2023-12-21,88.0,88.0,82.05000305175781,84.44999694824219,708.0
2023-12-22,82.5,85.69999694824219,82.5,84.0999984741211,803.0
2023-12-26,82.30000305175781,87.30000305175781,81.30000305175781,84.75,2483.0
2023-12-27,83.55000305175781,85.94999694824219,82.6500015258789,83.05000305175781,3062.0
2023-12-28,83.1500015258789,85.0,80.30000305175781,84.75,1483.0
2023-12-29,82.1500015258789,84.94999694824219,82.1500015258789,82.5,1076.0
2024-01-01,82.5,85.3499984741211,82.5,83.94999694824219,5232.0
2024-01-02,85.0,85.25,83.0,83.0999984741211,1916.0
2024-01-03,83.0999984741211,86.0999984741211,83.0,83.0,7603.0
2024-01-04,83.1500015258789,86.44999694824219,81.25,84.5,1280.0
2024-01-05,84.5,85.94999694824219,82.0999984741211,83.0,2003.0
2024-01-08,81.1500015258789,83.94999694824219,81.1500015258789,82.75,1956.0
2024-01-09,82.75,85.5,82.75,84.9000015258789,3108.0
2024-01-10,82.1500015258789,85.4000015258789,82.1500015258789,85.0,2507.0
2024-01-11,86.05000305175781,86.94999694824219,82.5999984741211,84.94999694824219,4663.0
2024-01-12,85.5999984741211,86.0,83.0999984741211,84.0,670.0
2024-01-15,86.0,86.0,83.0999984741211,85.0,1575.0
2024-01-16,85.5,87.4000015258789,83.05000305175781,84.0,13731.0
2024-01-17,84.0,85.9000015258789,81.44999694824219,85.0,1714.0
2024-01-19,85.0,85.0,83.05000305175781,84.55000305175781,989.0
2024-01-23,83.0,85.44999694824219,83.0,83.55000305175781,1777.0
2024-01-24,83.5999984741211,84.9000015258789,82.0,83.0,15413.0
2024-01-25,82.25,83.9000015258789,81.0,83.0,4505.0
2024-01-29,79.0999984741211,86.30000305175781,79.0999984741211,85.44999694824219,5509.0
2024-01-30,85.5,87.55000305175781,83.55000305175781,87.3499984741211,4291.0
2024-01-31,87.3499984741211,91.69999694824219,87.0,91.69999694824219,10343.0
2024-02-01,93.30000305175781,96.25,88.9000015258789,96.25,7314.0
2024-02-02,99.9000015258789,101.05000305175781,96.5,99.0,6474.0
