symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
AGIIL,AGIIL,AGI Infra Limited,INE976R01033,EQ,539042,active
AGRITECH,AGRITECH,Agri-Tech India Ltd.,INE449G01018,EQ,537292,active
AGROPHOS,,Agro Phos India Limited,INE740V01019,EQ,,active
AHLADA,,Ahlada Engineers Limited,INE00PV01013,EQ,,active
AHLEAST,AHLEAST,Asian Hotels (East) Limited,INE926K01017,EQ,533227,active
AHLUCONT,AHLUCONT,Ahluwalia Contracts (India) Ltd,INE758C01029,EQ,532811,active
AIAENG,AIAENG,AIA Engineering Ltd.,INE212H01026,EQ,532683,active
AIIL,AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ,539177,active
AIRAN,AIRAN,AIRAN LIMITED,INE645W01026,EQ,543811,active
AIROLAM,,Airo Lam limited,INE801L01010,EQ,,active
AJANTPHARM,AJANTPHARM,Ajanta Pharma Ltd.,INE031B01049,EQ,532331,active
AJAXENGG,AJAXENGG,AJAX Engineering Limited,INE274Y01021,EQ,544356,active
AJMERA,AJMERA,Ajmera Realty & Infra India Limited,INE298G01027,EQ,513349,active
AJOONI,,Ajooni Biotech Limited,INE820Y01021,EQ,,active
AKASH,,Akash Infra-Projects Limited,INE737W01013,EQ,,active
AKG,,Akg Exim Limited,INE00Y801016,EQ,,active
AKI,AKI,AKI India Limited,INE642Z01026,EQ,542020,active
AKSHAR,AKSHAR,Akshar Spintex Limited,INE256Z01025,EQ,541303,active
AKSHARCHEM,AKSHARCHEM,AksharChem (India) Ltd.,INE542B01011,EQ,524598,active
AKSHOPTFBR,AKSHOPTFBR,Aksh Optifibre Ltd.,INE523B01011,EQ,532351,active
AKUMS,AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,EQ,544222,active
AKZOINDIA,AKZOINDIA,Akzo Nobel India Limited,INE133A01011,EQ,500710,active
ALANKIT,ALANKIT,Alankit Limited,INE914E01040,EQ,531082,active
ALBERTDAVD,ALBERTDAVD,Albert David Ltd.,INE155C01010,EQ,524075,active
ALEMBICLTD,ALEMBICLTD,Alembic  Ltd,INE426A01027,EQ,506235,active
ALICON,ALICON,Alicon Castalloy Limited,INE062D01024,EQ,531147,active
ALIVUS,ALIVUS,ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,EQ,543322,active
ALKALI,ALKALI,Alkali Metals Limited,INE773I01017,EQ,533029,active
ALKEM,ALKEM,Alkem Laboratories Limited,INE540L01014,EQ,539523,active
ALKYLAMINE,ALKYLAMINE,Alkyl Amines Chemicals Ltd.,INE150B01039,EQ,506767,active
ALLCARGO,ALLCARGO,Allcargo Logistics Ltd,INE418H01029,EQ,532749,active
ALLDIGI,ALLDIGI,Alldigi Tech Limited,INE835G01018,EQ,532633,active
ALLTIME,ALLTIME,ALL TIME PLASTICS LIMITED,INE0GV601021,EQ,544479,active
ALMONDZ,ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ,531400,active
ALOKINDS,ALOKINDS,Alok Industries Ltd.,INE270A01029,EQ,521070,active
ALPA,ALPA,Alpa Laboratories Limited,INE385I01010,EQ,532878,active
ALPHAGEO,ALPHAGEO,Alphageo (India)Ltd.,INE137C01018,EQ,526397,active
AMANTA,AMANTA,Amanta Healthcare Limited,INE084K01015,EQ,544502,active
AMBER,AMBER,Amber Enterprises India Limited,INE371P01015,EQ,540902,active
AMBICAAGAR,AMBICAAGAR,Ambica Agarbathies & Aroma Ind. Ltd.,INE792B01012,EQ,532335,active
AMBIKCO,AMBIKCO,Ambika Cotton Mills Ltd.,INE540G01014,EQ,531978,active
AMBUJACEM,AMBUJACEM,Ambuja Cements Ltd.,INE079A01024,EQ,500425,active
AMDIND,AMDIND,AMD Industries Ltd,INE005I01014,EQ,532828,active
AMJLAND,AMJLAND,AMJ LAND HOLDINGS LIMITED,INE606A01024,EQ,500343,active
AMNPLST,AMNPLST,Amines & Plasticizers Ltd,INE275D01022,EQ,506248,active
AMRUTANJAN,AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ,590006,active
ANANDRATHI,ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ,543415,active
ANANTRAJ,ANANTRAJ,Anant Raj Limited,INE242C01024,EQ,515055,active
ANDHRAPAP,ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ,502330,active
ANDHRSUGAR,ANDHRSUGAR,The Andhra Sugars Ltd.,INE715B01021,EQ,590062,active
ANGELONE,ANGELONE,ANGEL ONE LIMITED,INE732I01013,EQ,543235,active
ANIKINDS,ANIKINDS,Anik Industries Limited,INE087B01017,EQ,519383,active
ANMOL,ANMOL,Anmol India Limited,INE02AR01019,EQ,542437,active
ANTELOPUS,ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,EQ,530075,active
ANTGRAPHIC,ANTARTICL,Antarctica Ltd,INE414B01021,EQ,526715,delisted
ANTHEM,ANTHEM,Anthem Biosciences Limited,INE0CZ201020,EQ,544449,active
ANUHPHR,ANUHPHR,Anuh Pharma Ltd.,INE489G01022,EQ,506260,active
ANUP,ANUP,The Anup Engineering Ltd,INE294Z01018,EQ,542460,active
ANURAS,ANURAS,Anupam Rasayan India Limited,INE930P01018,EQ,543275,active
APARINDS,APARINDS,Apar Industries Ltd,INE372A01015,EQ,532259,active
APCL,APCL,Anjani Portland Cement Ltd.,INE071F01012,EQ,518091,active
APCOTEXIND,APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ,523694,active
APEX,APEX,Apex Frozen Foods Limited,INE346W01013,EQ,540692,active
APLAPOLLO,APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ,533758,active
APLLTD,APLLTD,ALEMBIC PHARMACEUTICALS LIMITED,INE901L01018,EQ,533573,active
APOLLO,APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ,540879,active
APOLLOHOSP,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,INE437A01024,EQ,508869,active
APOLLOPIPE,APOLLOPIPE,APOLLO PIPES LIMITED,INE126J01016,EQ,531761,active
APOLLOTYRE,APOLLOTYRE,Apollo Tyres Ltd,INE438A01022,EQ,500877,active
APOLSINHOT,,Apollo Sindoori Hotels Limited,INE451F01024,EQ,,active
APTECHT,APTECHT,Aptech Ltd.,INE266F01018,EQ,532475,active
APTUS,APTUS,Aptus Value Housing Finance India Limited,INE852O01025,EQ,543335,active
ARCHIDPLY,ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ,532994,active
ARCHIES,ARCHIES,Archies Ltd.,INE731A01020,EQ,532212,active
ARE&M,ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,EQ,500008,active
ARENTERP,ARENTERP,Rajdarshan Industries Ltd.,INE610C01014,EQ,526662,active
ARIES,ARIES,Aries Agro Limited,INE298I01015,EQ,532935,active
ARIHANTCAP,ARIHANTCAP,Arihant Capital Markets Ltd.,INE420B01036,EQ,511605,active
ARIHANTSUP,ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ,506194,active
ARISINFRA,ARISINFRA,ArisInfra Solutions Limited,INE0H9P01028,EQ,544419,active
ARKADE,ARKADE,ARKADE DEVELOPERS LIMITED,INE0QRL01017,EQ,544261,active
ARMANFIN,ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ,531179,active
AROGRANITE,AROGRANITE,Aro Granite Industries Ltd.,INE210C01013,EQ,513729,active
ARROWGREEN,ARROWGREEN,Arrow Greentech Limited,INE570D01018,EQ,516064,active
ARSSBL,ARSSBL,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,INE549H01021,EQ,544530,active
ARTEMISMED,ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ,542919,active
ARTNIRMAN,,Art Nirman Limited,INE738V01013,EQ,,active
ARVEE,,Arvee Laboratories (India) Limited,INE006Z01016,EQ,,active
ARVIND,ARVIND,Arvind Ltd.,INE034A01011,EQ,500101,active
ARVINDFASN,ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ,542484,active
ARVSMART,ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ,539301,active
ASAHIINDIA,ASAHIINDIA,Asahi India Glass Ltd.,INE439A01020,EQ,515030,active
ASAHISONG,ASAHISONG,Asahi Songwon Colors Ltd.,INE228I01012,EQ,532853,active
ASAL,ASAL,Automotive Stampings and Assemblies Ltd.,INE900C01027,EQ,520119,active
ASALCBR,ASALCBR,Associated Alcohols & Breweries Ltd,INE073G01016,EQ,507526,active
ASHAPURMIN,ASHAPURMIN,Ashapura Minechem Ltd,INE348A01023,EQ,527001,active
ASHIANA,ASHIANA,Ashiana Housing Limited,INE365D01021,EQ,523716,active
ASHIMASYN,ASHIMASYN,Ashima Ltd,INE440A01010,EQ,514286,active
ASHOKA,ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ,533271,active
ASHOKAMET,ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ,540923,active
ASHOKLEY,ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,EQ,500477,active
ASIANENE,ASIANENE,ASIAN ENERGY SERVICES LTD,INE276G01015,EQ,530355,active
ASIANHOTNR,ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,EQ,500023,active
ASIANPAINT,ASIANPAINT,Asian Paints Ltd.,INE021A01026,EQ,500820,active
ASIANTILES,ASIANTILES,ASIAN GRANITO INDIA LIMITED,INE022I01019,EQ,532888,active
ASKAUTOLTD,ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ,544022,active
ASMS,ASMS,Bartronics India Ltd.,INE855F01042,EQ,532694,active
ASPINWALL,,Aspinwall and Company Limited,INE991I01015,EQ,,active
ASTEC,ASTEC,ASTEC LIFESCIENCES LIMITED,INE563J01010,EQ,533138,active
ASTERDM,ASTERDM,Aster DM Healthcare Limited,INE914M01019,EQ,540975,active
ASTRAL,ASTRAL,ASTRAL LIMITED,INE006I01046,EQ,532830,active
ASTRAMICRO,ASTRAMICRO,Astra Microwave Products Ltd.,INE386C01029,EQ,532493,active
ASTRAZEN,ASTRAZEN,AstraZeneca Pharma India Ltd.,INE203A01020,EQ,506820,active
ASTRON,ASTRON,Astron Paper & Board Mill Limited,INE646X01014,EQ,540824,active
ATALREAL,ATALREAL,Atal Realtech Limited,INE0ALR01029,EQ,543911,active
ATAM,ATAM,Atam Valves Limited,INE09KD01013,EQ,543236,active
ATGL,ATGL,ADANI TOTAL GAS LIMITED,INE399L01023,EQ,542066,active
ATHERENERG,ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ,544397,active
ATL,ATL,Allcargo Terminals Limited,INE0NN701020,EQ,543954,active
ATLANTAELE,ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,EQ,544527,active
ATLASCYCLE,ATLASCYCLE,Atlas Cycles (Haryana) Ltd.,INE446A01025,EQ,505029,active
ATUL,ATUL7,Atul Limited.,INE100A01010,EQ,544024,delisted
ATULAUTO,ATULAUTO,Atul Auto Limited,INE951D01028,EQ,531795,active
AUBANK,AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ,540611,active
AURIGROW,,Auri Grow India Limited,INE925Y01036,EQ,,active
AURIONPRO,AURIONPRO,Aurionpro Solutions Ltd.,INE132H01018,EQ,532668,active
AUROPHARMA,AUROPHARMA,Aurobindo Pharma Ltd.,INE406A01037,EQ,524804,active
AURUM,AURUM,Aurum PropTech Limited,INE898S01029,EQ,539289,active
AUSOMENT,AUSOMENT,AuSom Enterprise Limited,INE218C01016,EQ,509009,active
AUTOAXLES,AUTOAXLES,Automotive Axles Ltd.,INE449A01011,EQ,505010,active
AUTOIND,AUTOIND,AUTOLINE INDUSTRIES LTD.,INE718H01014,EQ,532797,active
AVADHSUGAR,AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED,INE349W01017,EQ,540649,active
AVALON,AVALON,Avalon Technologies Limited,INE0LCL01028,EQ,543896,active
AVANTEL,AVANTEL,Avantel Limited,INE005B01027,EQ,532406,active
AVANTIFEED,AVANTIFEED,Avanti Feeds ltd.,INE871C01038,EQ,512573,active
AVG,AVG,AVG Logistics Limited,INE680Z01018,EQ,543910,active
AVL,AVL,Aditya Vision Limited,INE679V01027,EQ,540205,active
AVONMORE,AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,EQ,511589,active
AVROIND,AVROIND,Avro India Limited,INE652Z01017,EQ,543512,active
AVTNPL,AVTNPL,AVT Natural Products Ltd.,INE488D01021,EQ,519105,active
AWFIS,AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ,544181,active
AWHCL,AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ,543254,active
AWL,AWL,AWL AGRI BUSINESS LIMITED,INE699H01024,EQ,543458,active
AXISBANK,AXISBANK,AXIS Bank Ltd.,INE238A01034,EQ,532215,active
AYMSYNTEX,AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ,508933,active
AZAD,AZAD,Azad Engineering Limited,INE02IJ01035,EQ,544061,active
BAGFILMS,BAGFILMS,B.A.G. Films & Media Ltd,INE116D01028,EQ,532507,active
BAIDFIN,BAIDFIN,BAID FINSERV LIMITED,INE020D01022,EQ,511724,active
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ,532977,active
BAJAJCON,BAJAJCON,BAJAJ CONSUMER CARE LIMITED,INE933K01021,EQ,533229,active
BAJAJELEC,BAJAJELEC,Bajaj Electricals Ltd.,INE193E01025,EQ,500031,active
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ,532978,active
BAJAJHCARE,BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ,539872,active
BAJAJHFL,BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ,544252,active
BAJAJHIND,BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ,500032,active
BAJAJHLDNG,BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ,500490,active
BAJAJINDEF,BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ,544364,active
BAJEL,BAJEL,Bajel Projects Limited,INE0KQN01018,EQ,544042,active
BAJFINANCE,BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ,500034,active
BALAJEE,BALAJEE,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED,INE0S2G01011,EQ,544249,active
BALAJITELE,BALAJITELE,Balaji Telefilms Ltd.,INE794B01026,EQ,532382,active
BALAMINES,BALAMINES,Balaji Amines Ltd.,INE050E01027,EQ,530999,active
BALAXI,,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,EQ,,active
BALKRISHNA,BALKRISHNA,Balkrishna Paper Mills Ltd,INE875R01011,EQ,539251,active
BALKRISIND,BALKRISIND,Balkrishna Industries Ltd.,INE787D01026,EQ,502355,active
BALMLAWRIE,BALMLAWRIE,Balmer Lawrie & Co. Ltd.,INE164A01016,EQ,523319,active
BALPHARMA,BALPHARMA,Bal Pharma Ltd.,INE083D01012,EQ,524824,active
BALRAMCHIN,BALRAMCHIN,Balrampur Chini Mills Ltd.,INE119A01028,EQ,500038,active
BALUFORGE,BALUFORGE,BALU FORGE INDUSTRIES LIMITED,INE011E01029,EQ,531112,active
BANARBEADS,BANARBEADS,Banaras Beads Ltd.,INE655B01011,EQ,526849,active
BANARISUG,BANARISUG,Bannari Amman Sugars Ltd.,INE459A01010,EQ,500041,active
BANCOINDIA,BANCOINDIA,Banco Products (India) Ltd.,INE213C01025,EQ,500039,active
BANDHANBNK,BANDHANBNK,Bandhan Bank Limited,INE545U01014,EQ,541153,active
BANG,BANG,Bang Overseas Ltd,INE863I01016,EQ,532946,active
BANKA,,Banka BioLoo Limited,INE862Y01015,EQ,,active
BANKBARODA,BANKBARODA,Bank Of Baroda,INE028A01039,EQ,532134,active
BANKINDIA,BANKINDIA,Bank of India,INE084A01016,EQ,532149,active
BANSALWIRE,BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,EQ,544209,active
BANSWRAS,BANSWRAS,Banswara Syntex Ltd.,INE629D01020,EQ,503722,active
BASF,BASF,BASF India Ltd,INE373A01013,EQ,500042,active
BASML,BASML,Bannari Amman Spinning Mills Ltd,INE186H01022,EQ,532674,active
BATAINDIA,BATAINDIA,Bata India Limited,INE176A01028,EQ,500043,active
BAYERCROP,BAYERCROP,Bayer Cropscience Ltd.,INE556A01013,EQ,530415,delisted
BBL,BBL,Bharat Bijlee Ltd.,INE464A01036,EQ,503960,active
BBOX,BBOX,BLACK BOX LIMITED,INE676A01027,EQ,500463,active
BBTC,BBTC,The Bombay Burmah Trading Corporation Ltd.,INE050A01025,EQ,501425,active
BBTCL,BBTCL,B&B Triplewall Containers Limited,INE01EE01011,EQ,543668,active
BCG,BCG,BRIGHTCOM GROUP LIMITED,INE425B01027,EQ,532368,active
BCLIND,BCLIND,BCL INDUSTRIES LIMITED,INE412G01024,EQ,524332,active
BDL,BDL,Bharat Dynamics Limited,INE171Z01026,EQ,541143,active
BEARDSELL,BEARDSELL,BEARDSELL LIMITED,INE520H01022,EQ,539447,delisted
BECTORFOOD,BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020,EQ,543253,active
BEDMUTHA,BEDMUTHA,Bedmutha Industries Limited,INE844K01012,EQ,533270,active
BEL,BEL,Bharat Electronics Ltd.,INE263A01024,EQ,500049,active
BELLACASA,BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014,EQ,539399,active
BELRISE,BELRISE,BELRISE INDUSTRIES LIMITED,INE894V01022,EQ,544405,active
BEML,BEML,BEML Ltd,INE258A01024,EQ,500048,active
BEPL,BEPL,Bhansali Engineering Polymers Ltd.,INE922A01025,EQ,500052,active
BERGEPAINT,BERGEPAINT,Berger Paints India Ltd,INE463A01038,EQ,509480,active
BESTAGRO,BESTAGRO,BEST AGROLIFE LIMITED,INE052T01013,EQ,539660,active
BETA,,Beta Drugs Limited,INE351Y01019,EQ,,active
BFINVEST,BFINVEST,BF Investment Limited,INE878K01010,EQ,533303,active
BHAGCHEM,BHAGCHEM,Bhagiradha Chemicals and Industries,INE414D01027,EQ,531719,active
BHAGERIA,BHAGERIA,Bhageria Industries Limited,INE354C01027,EQ,530803,active
BHANDARI,BHANDARI,Bhandari Hosiery Exports Ltd.,INE474E01029,EQ,512608,active
BHARATFORG,BHARATFORG,Bharat Forge Ltd,INE465A01025,EQ,500493,active
BHARATRAS,BHARATRAS,Bharat Rasayan Limited,INE838B01021,EQ,590021,active
BHARATSE,BHARATSE,Bharat Seats Ltd,INE415D01024,EQ,523229,active
BHARATWIRE,BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,EQ,539799,active
BHARTIARTL,BHARTIARTL,Bharti Airtel  Ltd.,INE397D01024,EQ,532454,active
BHARTIHEXA,BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,EQ,544162,active
BHEL,BHEL,Bharat Heavy Electricals Ltd.,INE257A01026,EQ,500103,active
BIGBLOC,BIGBLOC,Bigbloc Construction Limited,INE412U01025,EQ,540061,active
BIKAJI,BIKAJI,Bikaji Foods International Limited,INE00E101023,EQ,543653,active
BIL,BIL,Bhartiya International Ltd.,INE828A01016,EQ,526666,active
BIOCON,BIOCON,Biocon Ltd.,INE376G01013,EQ,532523,active
BIOFILCHEM,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals,INE829A01014,EQ,524396,active
BIRLACABLE,BIRLACABLE,Birla Cable Limited,INE800A01015,EQ,500060,active
BIRLACORPN,BIRLACORPN,Birla Corporation Ltd.,INE340A01012,EQ,500335,active
BIRLAMONEY,BIRLAMONEY,Aditya Birla  Money Ltd,INE865C01022,EQ,532974,active
BIRLANU,BIRLANU,BIRLANU LIMITED,INE557A01011,EQ,509675,active
BLACKBUCK,BLACKBUCK,BlackBuck Limited,INE0UIZ01018,EQ,544288,active
BLAL,BLAL,BEML Land Assets Limited,INE0N7W01012,EQ,543898,active
BLBLIMITED,BLBLIMITED,BLB Limited,INE791A01024,EQ,532290,active
BLISSGVS,BLISSGVS,Bliss GVS Pharma Limited,INE416D01022,EQ,506197,active
BLKASHYAP,BLKASHYAP,B L Kashyap and Sons Ltd,INE350H01032,EQ,532719,active
BLS,BLS,BLS International Services Ltd,INE153T01027,EQ,540073,active
BLSE,BLSE,BLS E-Services Limited,INE0NLT01010,EQ,544107,active
BLUEDART,BLUEDART,Blue Dart Express Ltd.,INE233B01017,EQ,526612,active
BLUEJET,BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,EQ,544009,active
BLUESTARCO,BLUESTARCO,Blue Star Ltd,INE472A01039,EQ,500067,active
BLUESTONE,BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,EQ,544484,active
BLUSPRING,BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,EQ,544414,active
BMWVENTLTD,BMWVENTLTD,BMW VENTURES LIMITED,INE965W01036,EQ,544543,active
BODALCHEM,BODALCHEM,Bodal Chemicals Ltd,INE338D01028,EQ,524370,active
BOHRAIND,,Bohra Industries Limited,INE802W01023,EQ,,active
BOMDYEING,BOMDYEING,Bombay Dyeing & Mfg. Co. Ltd.,INE032A01023,EQ,500020,active
BOROLTD,BOROLTD,Borosil Limited,INE02PY01013,EQ,543212,active
BORORENEW,BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,EQ,502219,active
BOROSCI,BOROSCI,Borosil Scientific Limited,INE02L001032,EQ,544184,active
BOSCHLTD,BOSCHLTD,Bosch Ltd,INE323A01026,EQ,500530,active
BPCL,BPCL,Bharat Petroleum Corpn. Ltd.,INE029A01011,EQ,500547,active
