symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
AARTIPHARM,AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ,543748,active
,AARTIPP,Aarti Surfactants Limited,IN909EO01012,,890180,delisted
AARTISURF,AARTISURF,Aarti Surfactants Limited,INE09EO01013,EQ,543210,active
,AARYAGLOBL,Aarya Global Shares and Securities Ltd.,INE233H01030,,531731,delisted
,AASHEESH,Aasheesh Securities Ltd.,INE174C01011,,531514,delisted
,AASHKA,Aashka Hospitals Limited,INE0EAX01014,,543346,active
,AASTA-RE,Aastamangalam Finance Limited,INE819K20014,,750939,suspended
,AASTAFIN,Aastamangalam Finance Limited,INE819K01014,,511764,active
AAVAS,AAVAS,AAVAS Financiers Limited,INE216P01012,EQ,541988,active
,AAYUSH,AAYUSH WELLNESS LIMITED,INE430R01023,,539528,active
,AAYUSHBULL,AAYUSH ART AND BULLION LIMITED,INE777X01017,,540718,active
,ABACUS,Abacus Computers Ltd,INE192D01011,,508987,delisted
,ABAN,Aban  Offshore Ltd.,INE421A01028,,523204,active
,ABANOFFSHPP,Aban  Offshore Ltd.,IN9421A01026,,890090,delisted
,ABANSENT,ABans Enterprises Limited,INE365O01028,,512165,active
,ABATEAS,ABATE AS INDUSTRIES LIMITED,INE454E01013,,531658,active
ABB,ABB,ABB India Limited,INE117A01022,EQ,500002,active
ABBOTINDIA,ABBOTINDIA,Abbott India Ltd.,INE358A01014,EQ,500488,active
ABCAPITAL,ABCAPITAL,Aditya Birla Capital Ltd,INE674K01013,EQ,540691,active
,ABCBEARS,ABC Bearings Ltd.,INE779A01011,,505665,delisted
,ABCIL,Aditya Birla Chemicals (India) Limited,INE605B01016,,500057,delisted
,ABCINDQ,ABC India Ltd.,INE125D01011,,520123,active
ABCOTS,ABCOTS,A B Cotspin India Limited,INE08PH01015,EQ,544522,active
ABDL,ABDL,Allied Blenders and Distillers Limited,INE552Z01027,EQ,544203,active
,ABEEINF,Abee Info-Consumables Ltd.,INE097B01016,,530833,delisted
ABFRL,ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ,535755,active
,ABFRL-RE,Aditya Birla Fashion and Retail Limited,INE647O20011,,750636,suspended
,ABFRLPP,Aditya Birla Fashion and Retail Limited,IN9647O01027,,890148,suspended
,ABGSHIP,ABG Shipyard Ltd.,INE067H01016,,532682,delisted
,ABHICAP,Abhinav Capital Services Limited,INE516F01016,,532057,active
,ABHIFIN,Abhishek Finlease limited,INE723C01015,,538935,active
,ABHIINFRA,Abhishek Infraventures Limited,INE281P01016,,539544,active
,ABHIJIT,Abhijit Trading Co. Ltd.,INE994N01019,,539560,active
,ABHISHEK,Abhishek Corporation Ltd,INE004I01017,,532831,suspended
,ABIN-RE1,A B INFRABUILD LIMITED,INE00YB20025,,750964,suspended
ABINFRA,ABINFRA,A B INFRABUILD LIMITED,INE00YB01025,EQ,544281,active
,ABIRAFN,Abirami Financial Services (India),INE195I01013,,511756,active
,ABIRLANUVO,ADITYA BIRLA NUVO LTD.,INE069A01017,,500303,delisted
,ABLBIO,ABL Bio-Technologies Ltd.,INE707D01016,,526955,delisted
ABLBL,ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,EQ,544403,active
,ABMKNO,ABM Knowledgeware Ltd.,INE850B01026,,531161,active
ABREL,ABREL,ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,EQ,500040,active
,ABRFL,Abram Food Limited,INE0ZDY01011,,544422,active
,ABRIL,ABRIL PAPER TECH LIMITED,INE15MX01014,,544500,active
ABSLAMC,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ,543374,active
